RegionID,SizeRank,RegionName,RegionType,StateName,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sept_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sept_2019,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sept_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,Mar_2021,Apr_2021,May_2021,Jun_2021,Jul_2021,Aug_2021,Sept_2021,Oct_2021,Nov_2021,Dec_2021,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sept_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sept_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024
395107,159,"South Bend, IN",msa,IN,0.130766374,0.13345977,0.14309869,0.16168037,0.188013017,0.220129287,0.230123834,0.242519387,0.215976711,0.181920386,0.151216201,0.142591091,0.158686554,0.153761402,0.17118428,0.185144747,0.219244629,0.237650478,0.257823459,0.251456815,0.230318304,0.188414784,0.164931691,0.171625903,0.177001098,0.162504064,0.136656741,0.135445207,0.149576321,0.160174659,0.165194968,0.173854967,0.189636964,0.186716623,0.164892711,0.126971954,0.106584697,0.089470378,0.102886231,0.122810589,0.153849725,0.164742046,0.169983322,0.182821877,0.175479223,0.168525997,0.136482626,0.122748303,0.114026514,0.11739837,0.131006612,0.149749341,0.174036239,0.205397278,0.221750439,0.242196644,0.238492494,0.211587804,0.195774941,0.179679811,0.183234397,0.168143214,0.175585222,0.197269058,0.210979367,0.219915702,0.225910024,0.247045328,0.26537822,0.251484728,0.23845134,0.211262315,0.201808053,0.199181032,0.198841761
395109,160,"Spartanburg, SC",msa,SC,0.105430591,0.10359647,0.112298921,0.123692704,0.128891824,0.140145158,0.140728821,0.154334948,0.141760361,0.125158488,0.11173856,0.114587841,0.12908216,0.137173403,0.148402907,0.157292228,0.161397707,0.159599995,0.166712313,0.165488694,0.157922445,0.137428249,0.132471361,0.145233226,0.156977046,0.152155636,0.136944306,0.131443014,0.127989201,0.116507693,0.10839674,0.11948251,0.134536201,0.136954218,0.117771993,0.104256948,0.103520769,0.09842273,0.087320882,0.093411428,0.121833712,0.159057386,0.170991205,0.181539509,0.169041165,0.161839641,0.135120903,0.131366557,0.133189638,0.136637081,0.143579008,0.174066002,0.214115667,0.265263077,0.292239286,0.315043556,0.312433236,0.282877248,0.273930045,0.256264558,0.267292239,0.243478211,0.243293452,0.240037758,0.256244768,0.276691158,0.289214217,0.307751788,0.300795864,0.258898183,0.241215243,0.227775026,0.262619365,0.271023897,0.296029661
394645,161,"Greeley, CO",msa,CO,0.093392361,0.088687505,0.095155878,0.117792596,0.142064697,0.170837401,0.186295771,0.203216684,0.198076938,0.171150727,0.162745047,0.153302942,0.157644393,0.144996589,0.156701034,0.195029003,0.239864057,0.273062391,0.290548013,0.297031322,0.274689783,0.230060287,0.193825758,0.190774999,0.192849861,0.177207441,0.173935593,0.188186264,0.210451572,0.207087767,0.19279674,0.18232739,0.170424352,0.155481779,0.119941416,0.084588394,0.056334496,0.050809888,0.052909136,0.066465302,0.082205319,0.102148474,0.113750938,0.13515899,0.138759688,0.133127759,0.100825932,0.076304239,0.065785405,0.070964676,0.097274381,0.149642753,0.220938738,0.280158717,0.309078861,0.314430046,0.306865525,0.263495881,0.230690945,0.187931464,0.184444517,0.161135411,0.178297576,0.199912243,0.236434405,0.258164483,0.277564528,0.281497756,0.276633053,0.221886315,0.198725183,0.167525576,0.187713763,0.190460393,0.204920803
394808,162,"Lubbock, TX",msa,TX,0.181426408,0.187561578,0.208186469,0.231440838,0.257014893,0.265115928,0.261608342,0.244312121,0.225536917,0.193975414,0.195699407,0.201324225,0.228323743,0.2195791,0.2295069,0.237094469,0.257395709,0.267306695,0.27594129,0.263894308,0.234094969,0.186397546,0.174227354,0.188228461,0.200437729,0.188080072,0.173417853,0.186480455,0.204186106,0.21195562,0.213214534,0.205018912,0.195684029,0.180688683,0.156019281,0.128551162,0.121744448,0.117576624,0.118462345,0.136147599,0.161347778,0.198812197,0.211774356,0.209379096,0.195953651,0.153739032,0.139175816,0.120214441,0.12378567,0.120223133,0.141054281,0.16677899,0.200612866,0.23104067,0.260556357,0.272707763,0.25545882,0.22580118,0.22110545,0.222931668,0.243284122,0.241557755,0.243219828,0.245515609,0.265102397,0.276869562,0.299129054,0.295585109,0.29314113,0.242236112,0.225922659,0.216833558,0.243541711,0.247602856,0.273835729
394471,163,"Clarksville, TN",msa,TN,0.099694225,0.100729843,0.118098473,0.135835241,0.155733522,0.171958821,0.174176975,0.173228847,0.158864238,0.139001801,0.126114108,0.114130031,0.127205522,0.12563937,0.132799812,0.134278755,0.138042908,0.146767624,0.143267885,0.145644421,0.134134234,0.129345469,0.121323647,0.128893429,0.125204359,0.111048803,0.091616384,0.086956947,0.089736758,0.091856021,0.095257358,0.093263213,0.08569472,0.075424326,0.066549952,0.059240011,0.0519007,0.059020834,0.06514791,0.081392977,0.099907739,0.126103233,0.147544921,0.157569907,0.144349003,0.131516495,0.11651186,0.115973777,0.111598395,0.114011166,0.130358741,0.166596546,0.219874138,0.269347496,0.315907833,0.334124311,0.336095737,0.302362973,0.2876028,0.25080971,0.230753039,0.202225711,0.216115885,0.231030473,0.2474006,0.258996308,0.277766127,0.278691093,0.283248006,0.259573444,0.264271081,0.248202656,0.253510755,0.260387238,0.285015456
395028,164,"Roanoke, VA",msa,VA,0.15631539,0.169327939,0.1855087,0.199002424,0.214997443,0.222565102,0.220994935,0.216449516,0.191440638,0.161913244,0.136168224,0.134057689,0.150929468,0.165757569,0.186589861,0.207293081,0.216912072,0.222268432,0.220202759,0.219368973,0.199685423,0.168229198,0.151355719,0.171128009,0.185262136,0.183796108,0.163691824,0.171691442,0.173347318,0.17958218,0.191258571,0.211653579,0.218099543,0.193556089,0.17056914,0.139936945,0.135032532,0.12251267,0.131497023,0.143737447,0.169835638,0.190461876,0.1995759,0.193711511,0.18417116,0.15680692,0.135197019,0.118691472,0.117259998,0.120388844,0.138131229,0.175619473,0.213241224,0.234410903,0.238021725,0.240061955,0.246373153,0.224805643,0.208088657,0.178969258,0.184604153,0.16609562,0.168887524,0.177607193,0.211645122,0.239913783,0.260707973,0.284217365,0.295144421,0.275492474,0.255366064,0.223632235,0.225421507,0.214419344,0.219795881
394579,165,"Evansville, IN",msa,IN,0.161327326,0.173907511,0.18977509,0.208573099,0.223275834,0.234733031,0.241619439,0.246592352,0.233047795,0.203197322,0.18377591,0.174301305,0.180473991,0.184362606,0.203368879,0.232141364,0.254001762,0.26574102,0.274568699,0.274009092,0.262215061,0.216071895,0.192733198,0.201173455,0.210401631,0.191086336,0.155541181,0.162635487,0.182003968,0.204373288,0.199975308,0.21161552,0.207322781,0.207101771,0.173774997,0.146293097,0.121430535,0.108306444,0.105703403,0.123959371,0.152709755,0.200821118,0.225892324,0.225806263,0.207692215,0.183716016,0.178167775,0.156144368,0.140410642,0.129845199,0.146898541,0.180727597,0.221508242,0.247797071,0.270342134,0.275131464,0.274657815,0.240190695,0.228548696,0.204940943,0.206979068,0.191275167,0.196776616,0.203121745,0.207987293,0.228047598,0.261963544,0.30094875,0.312401973,0.285572932,0.266016818,0.241388525,0.242251292,0.22797386,0.227217308
394747,167,"Kingsport, TN",msa,TN,0.142901804,0.145764585,0.163604063,0.173512136,0.187712348,0.189756306,0.184768685,0.193196084,0.185100394,0.162413001,0.147376947,0.138742471,0.161137483,0.161031854,0.176122486,0.188848016,0.203346592,0.207896098,0.206200475,0.203672508,0.187514887,0.158050933,0.142579986,0.162740551,0.176648898,0.165718576,0.156197101,0.159989126,0.175556082,0.171581266,0.178624341,0.181182395,0.184265149,0.162693558,0.14846796,0.126857845,0.125529275,0.11858422,0.122882255,0.136491859,0.154373618,0.17879824,0.189272672,0.193634745,0.192168079,0.171137437,0.152235292,0.133647057,0.127111533,0.132650526,0.140065544,0.175879046,0.206865646,0.231652594,0.228848882,0.221757455,0.218403957,0.204109697,0.20301507,0.18919928,0.200240444,0.19766189,0.21686705,0.235961983,0.241380216,0.260990198,0.260714697,0.290724837,0.287432677,0.262100748,0.243085245,0.212415242,0.232580752,0.244315259,0.276128946
394741,168,"Kennewick, WA",msa,WA,0.154428511,0.154185379,0.166525587,0.179112729,0.201131277,0.216357139,0.225807033,0.229218239,0.227981961,0.195070755,0.175552486,0.137543584,0.130790583,0.121295303,0.145118324,0.177015991,0.218875345,0.240427232,0.276859249,0.279498935,0.265793791,0.206883,0.172675122,0.169264256,0.177566091,0.164992004,0.150476468,0.148777546,0.153783519,0.155836033,0.155615325,0.159860436,0.168739977,0.155756101,0.126864716,0.093153768,0.089345441,0.089942032,0.098649045,0.102560971,0.112649293,0.126500801,0.137774798,0.16664724,0.170945216,0.152741998,0.125831705,0.110543319,0.115777862,0.130944066,0.146644388,0.19338989,0.241059059,0.300159807,0.322538134,0.326075135,0.309819856,0.268954985,0.234473263,0.204432245,0.213894901,0.215294204,0.225857671,0.234265573,0.253002983,0.282216537,0.29961356,0.31230513,0.293241458,0.247142075,0.213596877,0.199855078,0.224204167,0.241014392,0.261249938
395179,169,"Utica, NY",msa,NY,0.112415282,0.111488642,0.124366978,0.142064649,0.157410913,0.169987354,0.167815924,0.162608883,0.144758429,0.118395451,0.119115773,0.11208963,0.130018963,0.125805866,0.148679213,0.164720738,0.17720253,0.18804571,0.190724523,0.19382131,0.175540206,0.144074983,0.129166573,0.128579718,0.138885393,0.11438334,0.099108031,0.105719351,0.137228741,0.154400041,0.155011577,0.160110066,0.160308693,0.153733577,0.135453261,0.115348584,0.116245347,0.109090636,0.123008022,0.132399913,0.152807742,0.179473706,0.192406229,0.197526613,0.176879046,0.150754738,0.138131597,0.129876418,0.128975483,0.14221668,0.151617237,0.181517537,0.200850513,0.226208152,0.246742459,0.243729265,0.237007347,0.194170063,0.177237094,0.153859584,0.150226744,0.144496552,0.13830427,0.151383708,0.151897584,0.171756518,0.19594417,0.200945692,0.200256303,0.168121592,0.173973533,0.160668761,0.158120284,0.148491898,0.172937275
394660,170,"Hagerstown, MD",msa,MD,0.145543154,0.145196633,0.171219085,0.188109252,0.224232981,0.237067823,0.238370562,0.241006799,0.227882047,0.202365898,0.170576403,0.153646731,0.163599726,0.177480678,0.201491863,0.219818065,0.231298295,0.241060515,0.247803341,0.262524463,0.247261716,0.210726738,0.176091439,0.185157811,0.19339863,0.192009994,0.169652621,0.167034012,0.147486008,0.139747913,0.136688312,0.160057774,0.159135574,0.16296411,0.140306232,0.121790493,0.103591328,0.098010866,0.107513276,0.119671184,0.143128304,0.168446887,0.179896716,0.179459352,0.166712353,0.154484814,0.133411858,0.114224344,0.107529312,0.124469509,0.152817505,0.193572434,0.229153246,0.25140104,0.255745234,0.26829528,0.271544144,0.251718811,0.215292912,0.178476834,0.175140335,0.164764122,0.187430492,0.197878685,0.232116725,0.240278164,0.250248596,0.258041821,0.283036861,0.261134893,0.231428644,0.198838239,0.199724764,0.208028923,0.205570762
